City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
198,Ponta Do Sol,PT,2020-05-10 16:22:26,32.67,-17.1,71.6,60,20,4.7,few clouds,0.0,0.0
199,Rio Negrinho,BR,2020-05-10 16:22:27,-26.25,-49.52,66.99,60,0,10.0,clear sky,0.0,0.0
200,Mar Del Plata,AR,2020-05-10 16:19:11,-38.0,-57.56,64.99,67,71,14.99,broken clouds,0.0,0.0
201,Puerto Escondido,MX,2020-05-10 16:20:14,15.85,-97.07,86.0,70,5,6.93,clear sky,0.0,0.0
202,Comodoro Rivadavia,AR,2020-05-10 16:22:27,-45.87,-67.5,50.0,61,75,23.04,light rain,0.0,0.0
203,Deputatskiy,RU,2020-05-10 16:22:27,69.3,139.9,19.89,96,52,4.03,broken clouds,0.0,0.0
204,Upata,VE,2020-05-10 16:22:27,8.01,-62.4,89.01,60,42,7.0,scattered clouds,0.0,0.0
205,Altay,CN,2020-05-10 16:22:28,47.87,88.12,57.24,32,0,4.36,clear sky,0.0,0.0
206,Leningradskiy,RU,2020-05-10 16:22:28,69.38,178.42,35.01,88,100,22.64,overcast clouds,0.0,0.0
207,Tuktoyaktuk,CA,2020-05-10 16:22:28,69.45,-133.04,33.8,80,75,14.99,broken clouds,0.0,0.0
208,Alice Springs,AU,2020-05-10 16:22:28,-23.7,133.88,55.4,35,100,12.75,overcast clouds,0.0,0.0
209,Chulumani,BO,2020-05-10 16:22:28,-16.41,-67.53,77.63,41,62,4.0,broken clouds,0.0,0.0
210,Nivala,FI,2020-05-10 16:22:28,63.92,24.97,46.99,78,100,4.0,light rain,0.0,0.0
211,Podor,MR,2020-05-10 16:22:29,16.65,-14.96,109.4,14,43,2.24,scattered clouds,0.0,0.0
212,Sao Filipe,CV,2020-05-10 16:18:06,14.9,-24.5,74.61,72,25,15.17,scattered clouds,0.0,0.0
213,Mokhsogollokh,RU,2020-05-10 16:22:29,61.47,128.92,27.79,92,96,3.24,overcast clouds,0.0,0.0
214,Haines Junction,CA,2020-05-10 16:22:29,60.75,-137.51,52.3,54,0,2.82,clear sky,0.0,0.0
215,Qaanaaq,GL,2020-05-10 16:20:53,77.48,-69.36,13.91,83,4,3.51,clear sky,0.0,0.0
216,Moose Jaw,CA,2020-05-10 16:20:01,50.4,-105.53,42.01,32,20,13.87,few clouds,0.0,0.0
217,Ajdabiya,LY,2020-05-10 16:22:29,30.76,20.23,90.88,10,21,6.91,few clouds,0.0,0.0
218,Sala Consilina,IT,2020-05-10 16:22:30,40.39,15.6,78.8,29,43,5.82,scattered clouds,0.0,0.0
219,Caravelas,BR,2020-05-10 16:22:30,-17.71,-39.25,76.15,59,74,9.98,broken clouds,0.0,0.0
220,Forestville,US,2020-05-10 16:22:31,38.85,-76.88,59.0,28,1,10.29,clear sky,0.0,0.0
221,Tabou,CI,2020-05-10 16:22:31,4.42,-7.35,86.14,72,50,13.65,scattered clouds,0.0,0.0
